ProductID,ProductName,Category,total_quantity_sold,total_revenue
4131,Shirt,Clothing,533,2.593995055E7
3534,Data Science Book,Books,654,3.262597958E7
866,Jeans,Clothing,575,3.041474735E7
1166,Tennis Racket,Sports,655,3.61015713E7
85,Gym Kit,Sports,648,3.505048625E7
670,Speaker,Electronics,655,3.328924074E7
683,Shirt,Clothing,668,3.373912091E7
4563,T-Shirt,Clothing,547,2.834874038E7
2076,Cricket Bat,Sports,636,2.951878918E7
4710,Football,Sports,754,3.950325487E7
4630,Tablet,Electronics,597,2.847582822E7
310,Jacket,Clothing,739,3.708587607E7
1080,Mouse,Electronics,661,2.620905781E7
1084,Tennis Racket,Sports,583,2.981905793E7
745,Cupboard,Furniture,827,4.575400817E7
1476,Tablet,Electronics,662,3.056284445E7
2646,Programming Book,Books,724,3.599442698E7
2949,Mobile Phone,Electronics,654,2.997226392E7
3585,Tennis Racket,Sports,714,3.498677698E7
4169,Mouse,Electronics,662,3.423250046E7
1748,Programming Book,Books,542,2.948592102E7
1324,Football,Sports,540,2.678447397E7
3325,Mobile Phone,Electronics,645,3.068406036E7
106,T-Shirt,Clothing,585,3.223342437E7
1529,T-Shirt,Clothing,692,3.566351741E7
2273,Gym Kit,Sports,556,2.722533971E7
3117,Jacket,Clothing,635,2.919639508E7
4475,Dictionary,Books,677,3.529842934E7
2393,Office Desk,Furniture,587,2.915065413E7
3403,Football,Sports,736,3.540548398E7
1007,Cupboard,Furniture,776,3.915898255E7
3316,Table,Furniture,723,3.698277854E7
4724,Table,Furniture,720,4.066442426E7
1510,Tennis Racket,Sports,603,3.104897861E7
581,Novel,Books,741,3.739236213E7
1403,Office Desk,Furniture,728,3.576773769E7
1385,Jeans,Clothing,719,3.680725282E7
701,T-Shirt,Clothing,616,2.796663578E7
314,Tennis Racket,Sports,636,3.130339673E7
2116,Cupboard,Furniture,767,3.927959294E7
1518,Sofa,Furniture,717,3.759185079E7
3289,Monitor,Electronics,811,3.98784616E7
4184,Cricket Bat,Sports,586,3.045410646E7
1731,Laptop,Electronics,663,3.064900053E7
3172,T-Shirt,Clothing,763,3.938781434E7
693,Microwave,Home Appliances,606,3.121231525E7
958,Gym Kit,Sports,603,2.563224241E7
502,Novel,Books,688,3.597887516E7
622,Mixer,Home Appliances,783,3.858156806E7
1526,Jeans,Clothing,675,3.431433429E7
3235,Laptop,Electronics,659,3.250488741E7
3644,Table,Furniture,632,3.078314956E7
1983,Novel,Books,713,3.536108211E7
1360,Table,Furniture,672,3.063376961E7
3650,Tablet,Electronics,725,3.506521436E7
4327,T-Shirt,Clothing,745,3.627816716E7
509,Microwave,Home Appliances,658,3.145530894E7
4941,Speaker,Electronics,678,3.329217842E7
3526,Keyboard,Electronics,649,3.222130681E7
3857,Gym Kit,Sports,635,3.212398838E7
1971,Mobile Phone,Electronics,659,3.603391187E7
3728,Laptop,Electronics,650,3.491704161E7
602,Washing Machine,Home Appliances,601,3.156827364E7
2193,Speaker,Electronics,704,3.57211549E7
2473,Sofa,Furniture,617,3.241099231E7
1345,Gym Kit,Sports,661,3.418121458E7
4910,Jacket,Clothing,635,3.05438375E7
14,Refrigerator,Home Appliances,716,3.836442922E7
2876,Novel,Books,594,3.141728539E7
2265,Dictionary,Books,613,3.137543873E7
4851,Office Chair,Furniture,621,3.153293496E7
1003,Dictionary,Books,683,3.452026624E7
48,Office Desk,Furniture,644,3.368514117E7
2489,Programming Book,Books,641,3.221869311E7
4868,Keyboard,Electronics,770,3.829570968E7
2389,Mouse,Electronics,682,3.213218362E7
816,Cricket Bat,Sports,560,2.920861375E7
1145,Office Desk,Furniture,743,3.277450504E7
3362,Gym Kit,Sports,587,2.606448481E7
1566,Refrigerator,Home Appliances,747,3.534041866E7
1797,Data Science Book,Books,701,3.781117074E7
772,Office Desk,Furniture,602,3.112882385E7
3686,Mixer,Home Appliances,677,3.366475634E7
3154,T-Shirt,Clothing,640,3.22909618E7
2471,Microwave,Home Appliances,608,3.076377002E7
4381,Tennis Racket,Sports,577,3.244854369E7
545,Mixer,Home Appliances,651,3.438107932E7
1412,Monitor,Electronics,612,3.04400506E7
601,Microwave,Home Appliances,698,3.552676399E7
838,Jacket,Clothing,636,3.292128392E7
3062,Football,Sports,650,3.208723358E7
1767,Programming Book,Books,617,3.040651049E7
795,Washing Machine,Home Appliances,770,4.04149693E7
1150,T-Shirt,Clothing,637,3.568964445E7
4501,Sofa,Furniture,697,3.168945386E7
3715,Keyboard,Electronics,651,3.305083341E7
3933,Gym Kit,Sports,768,3.857134471E7
998,Cricket Bat,Sports,702,3.663319503E7
828,Office Desk,Furniture,687,3.742578465E7
1722,Washing Machine,Home Appliances,821,4.332460694E7
2131,T-Shirt,Clothing,825,4.166115311E7
1985,Programming Book,Books,652,2.945765115E7
3944,Washing Machine,Home Appliances,639,3.327296741E7
939,Mixer,Home Appliances,734,3.768382345E7
2089,Shirt,Clothing,704,3.390610375E7
3377,Office Chair,Furniture,693,3.187716066E7
2011,Cricket Bat,Sports,616,2.89045401E7
1680,Gym Kit,Sports,662,3.240524206E7
3970,Cupboard,Furniture,751,3.804675362E7
1264,Jeans,Clothing,593,2.950987129E7
818,Data Science Book,Books,622,3.219752228E7
1774,Novel,Books,625,3.133129961E7
1861,Washing Machine,Home Appliances,603,3.168374162E7
2397,Washing Machine,Home Appliances,702,3.607484142E7
462,Laptop,Electronics,572,2.965317779E7
1491,Cricket Bat,Sports,615,3.165765908E7
4816,Mobile Phone,Electronics,663,3.384981671E7
1719,Keyboard,Electronics,655,3.198101655E7
4653,Tennis Racket,Sports,769,3.654264691E7
848,Tablet,Electronics,619,3.215674976E7
1233,Keyboard,Electronics,685,3.658326477E7
3741,Data Science Book,Books,791,4.173316397E7
1590,Table,Furniture,583,2.914510228E7
2297,Shirt,Clothing,676,3.029279337E7
3184,Washing Machine,Home Appliances,626,3.09795281E7
1537,Washing Machine,Home Appliances,855,4.527974506E7
553,Monitor,Electronics,776,4.006273041E7
2039,Table,Furniture,652,3.359766014E7
4277,Table,Furniture,525,2.548714701E7
2263,Shirt,Clothing,686,3.538652772E7
507,Microwave,Home Appliances,761,3.876658059E7
967,Cupboard,Furniture,684,3.651912853E7
4286,Tennis Racket,Sports,582,2.868335403E7
1474,T-Shirt,Clothing,673,3.548034707E7
2765,Tennis Racket,Sports,581,2.901860372E7
2592,Refrigerator,Home Appliances,634,3.553357546E7
4972,Cricket Bat,Sports,678,3.530606993E7
1058,Tablet,Electronics,652,3.210253116E7
4969,Jacket,Clothing,624,3.21369408E7
1549,Jacket,Clothing,711,3.081725166E7
1305,Tablet,Electronics,731,3.605577766E7
3926,Office Chair,Furniture,675,3.443188134E7
3957,Gym Kit,Sports,691,3.757245535E7
2290,Refrigerator,Home Appliances,815,4.583976599E7
4116,Tablet,Electronics,603,3.068333872E7
4,Microwave,Home Appliances,625,3.146051634E7
212,Data Science Book,Books,482,2.372992376E7
4667,Cupboard,Furniture,768,4.060258069E7
202,Shirt,Clothing,791,4.193688446E7
849,Table,Furniture,595,2.660960985E7
819,Keyboard,Electronics,768,3.985469787E7
4435,Table,Furniture,794,4.285303562E7
161,Tennis Racket,Sports,601,3.081534018E7
561,Football,Sports,656,3.353256001E7
4161,Gym Kit,Sports,740,3.46416956E7
2432,Mouse,Electronics,581,2.491878812E7
3684,Jacket,Clothing,615,2.946011245E7
3336,Tablet,Electronics,622,2.986671549E7
1849,Football,Sports,584,2.942306399E7
3799,Sofa,Furniture,756,3.588174441E7
1450,Jeans,Clothing,696,3.486353082E7
4312,Mouse,Electronics,713,3.571079458E7
3991,Cupboard,Furniture,646,3.432735747E7
2921,Mobile Phone,Electronics,790,4.373253085E7
914,Novel,Books,724,3.491005422E7
3050,Jacket,Clothing,537,2.601633292E7
4926,Mixer,Home Appliances,580,2.683189655E7
4252,Sofa,Furniture,631,3.076445905E7
2251,Jacket,Clothing,710,3.594857228E7
3779,Jeans,Clothing,710,3.748228152E7
406,Mouse,Electronics,592,2.802947734E7
4239,Cricket Bat,Sports,636,3.197879406E7
1226,Office Chair,Furniture,709,3.633437285E7
2889,Table,Furniture,697,3.538974344E7
4739,Gym Kit,Sports,679,3.76719161E7
1863,Mouse,Electronics,550,2.89532085E7
3130,Shirt,Clothing,544,2.763269588E7
1940,Gym Kit,Sports,563,2.593296805E7
586,Mouse,Electronics,739,3.808180557E7
3217,Cricket Bat,Sports,562,2.848975633E7
4064,Office Chair,Furniture,653,2.729603801E7
1535,Microwave,Home Appliances,638,3.166872847E7
2135,Cupboard,Furniture,629,3.177984431E7
1220,Refrigerator,Home Appliances,697,3.756317998E7
2494,Washing Machine,Home Appliances,587,3.231415661E7
942,Jeans,Clothing,626,3.088924906E7
1550,Office Desk,Furniture,620,3.008953342E7
4631,Jacket,Clothing,716,3.317608082E7
1244,Office Chair,Furniture,678,3.630337936E7
3395,Gym Kit,Sports,640,3.58205758E7
4643,Tablet,Electronics,639,3.255655231E7
3935,Mobile Phone,Electronics,688,3.481363977E7
1390,Mixer,Home Appliances,711,3.573388858E7
1675,Football,Sports,670,3.301823681E7
4035,Novel,Books,581,2.675280863E7
4315,Sofa,Furniture,634,2.983058328E7
4139,Mixer,Home Appliances,502,2.698395968E7
265,Data Science Book,Books,688,3.15351968E7
1455,Football,Sports,633,3.018964219E7
1555,Mouse,Electronics,702,3.873098632E7
1755,Mixer,Home Appliances,759,4.046665112E7
2307,Novel,Books,765,3.987277457E7
2428,Sofa,Furniture,619,2.645137168E7
4494,Dictionary,Books,693,3.5809384E7
2289,Table,Furniture,652,3.241246285E7
343,Office Desk,Furniture,527,2.481157243E7
4516,Sofa,Furniture,605,2.899783666E7
2713,Keyboard,Electronics,717,4.090240118E7
2048,Gym Kit,Sports,674,3.343293641E7
3022,T-Shirt,Clothing,613,3.000155581E7
2506,Tennis Racket,Sports,566,3.059378581E7
3840,Novel,Books,715,3.51218016E7
910,Speaker,Electronics,666,3.366155469E7
2690,Tennis Racket,Sports,727,3.443861965E7
1439,Office Chair,Furniture,757,3.584686384E7
4746,Dictionary,Books,705,3.451951064E7
4934,Cupboard,Furniture,560,2.924487514E7
1418,Sofa,Furniture,532,2.751970881E7
3363,Data Science Book,Books,647,3.023397234E7
3860,Jacket,Clothing,612,3.204359325E7
3915,Shirt,Clothing,706,3.774320422E7
3593,Laptop,Electronics,739,3.835949449E7
599,Microwave,Home Appliances,631,3.344114513E7
4857,T-Shirt,Clothing,693,3.677960523E7
3029,Office Chair,Furniture,707,3.530613648E7
3716,Football,Sports,651,3.370940803E7
1253,Jacket,Clothing,604,2.822911981E7
1984,Dictionary,Books,502,2.58011066E7
2600,Tablet,Electronics,681,3.944799599E7
3700,T-Shirt,Clothing,664,3.137699825E7
4221,Cricket Bat,Sports,582,2.694337646E7
4508,Jacket,Clothing,685,3.293498122E7
3783,Mixer,Home Appliances,676,3.152734766E7
2468,Dictionary,Books,684,3.408411389E7
3738,Office Chair,Furniture,715,3.791189314E7
4104,Cricket Bat,Sports,547,2.658753197E7
1500,Programming Book,Books,609,3.527472572E7
3135,Jeans,Clothing,709,3.687980191E7
2158,Table,Furniture,630,3.154159064E7
2502,Speaker,Electronics,608,2.90645816E7
2597,Mixer,Home Appliances,580,2.838415728E7
3318,T-Shirt,Clothing,681,3.221988066E7
1256,Mouse,Electronics,660,3.5593388E7
2846,Table,Furniture,602,2.820308853E7
4678,Tablet,Electronics,755,3.521968015E7
934,Speaker,Electronics,553,2.558411713E7
957,Jacket,Clothing,726,3.324229259E7
295,Mixer,Home Appliances,697,3.686703333E7
3226,Keyboard,Electronics,718,3.721088198E7
4031,Data Science Book,Books,584,3.008665959E7
4447,Washing Machine,Home Appliances,752,3.866710737E7
2988,Table,Furniture,843,4.230775719E7
1468,Tennis Racket,Sports,709,3.474811816E7
4058,Monitor,Electronics,636,3.292634506E7
1889,Jeans,Clothing,748,3.335862694E7
2595,Mouse,Electronics,860,4.489204989E7
156,Football,Sports,764,3.801958526E7
732,Cupboard,Furniture,684,3.373749537E7
2317,Table,Furniture,627,2.991798197E7
260,Office Desk,Furniture,619,3.138491952E7
2136,Speaker,Electronics,761,3.862550196E7
4743,Jacket,Clothing,709,3.747829192E7
59,Table,Furniture,663,3.569807394E7
3492,Mixer,Home Appliances,607,2.881030875E7
157,Laptop,Electronics,602,3.052509336E7
2980,Gym Kit,Sports,640,3.312344988E7
3814,Novel,Books,630,2.808928072E7
3444,T-Shirt,Clothing,626,3.390258409E7
1560,Office Desk,Furniture,589,2.852738495E7
1931,Tennis Racket,Sports,745,3.529311037E7
215,Office Desk,Furniture,646,3.137001913E7
4645,Microwave,Home Appliances,688,3.48478818E7
331,Mixer,Home Appliances,523,2.382675087E7
2956,Laptop,Electronics,653,3.089835538E7
4539,Novel,Books,704,3.367243066E7
3702,Novel,Books,572,2.650877466E7
3975,Washing Machine,Home Appliances,791,3.712903629E7
1954,Cricket Bat,Sports,550,2.985960885E7
4323,Tennis Racket,Sports,667,3.22468854E7
2216,Novel,Books,628,3.137850146E7
4896,Monitor,Electronics,622,3.068768342E7
1585,Tablet,Electronics,597,2.776955835E7
1606,Jeans,Clothing,803,4.060702904E7
3209,Programming Book,Books,755,3.479961816E7
4218,Cupboard,Furniture,711,3.910826882E7
317,Novel,Books,629,3.584103428E7
516,Mouse,Electronics,727,3.318808348E7
1912,Mobile Phone,Electronics,709,3.803614329E7
4483,Keyboard,Electronics,756,3.89714807E7
4326,Speaker,Electronics,679,3.30824823E7
2363,Speaker,Electronics,585,3.13920592E7
1440,Football,Sports,618,3.259318742E7
4528,Jeans,Clothing,667,3.151130194E7
349,Mouse,Electronics,694,3.363435076E7
2535,Monitor,Electronics,657,3.035305532E7
2210,Sofa,Furniture,686,3.693362879E7
669,Speaker,Electronics,755,3.864677157E7
3682,Tennis Racket,Sports,637,3.216394231E7
2126,Sofa,Furniture,681,3.216384059E7
76,Gym Kit,Sports,662,3.126006706E7
2020,Office Chair,Furniture,692,3.415214533E7
2658,Jeans,Clothing,625,2.718887203E7
168,Washing Machine,Home Appliances,545,2.878639972E7
3606,Jeans,Clothing,643,3.054735611E7
3844,Novel,Books,718,3.693957696E7
4047,Washing Machine,Home Appliances,635,2.999486594E7
1135,Shirt,Clothing,655,3.427904046E7
19,Laptop,Electronics,772,3.8382017E7
4409,Tablet,Electronics,852,3.940989035E7
3551,Cupboard,Furniture,673,3.22214232E7
1088,Dictionary,Books,703,3.243795572E7
4613,Office Chair,Furniture,591,2.958347554E7
807,Office Desk,Furniture,670,3.562875668E7
3616,Novel,Books,688,3.793127093E7
4045,Jacket,Clothing,688,4.001453372E7
3283,Mouse,Electronics,709,3.420426803E7
2675,Speaker,Electronics,701,3.744349263E7
23,Tablet,Electronics,681,3.456582247E7
1295,Cricket Bat,Sports,692,3.192841424E7
312,Sofa,Furniture,789,3.826077644E7
2742,Mixer,Home Appliances,727,3.26299438E7
4733,Mixer,Home Appliances,829,4.275631215E7
2105,Microwave,Home Appliances,740,3.390332859E7
4304,Gym Kit,Sports,807,4.040211798E7
1539,T-Shirt,Clothing,524,2.583019384E7
3473,Dictionary,Books,721,3.694460848E7
3549,Laptop,Electronics,700,3.442075196E7
3487,Shirt,Clothing,651,2.975568518E7
3542,Shirt,Clothing,711,3.352291011E7
2907,Sofa,Furniture,776,3.830986035E7
4086,Refrigerator,Home Appliances,575,3.059655384E7
3583,Mouse,Electronics,662,3.411479309E7
1319,Monitor,Electronics,594,2.761196623E7
1602,T-Shirt,Clothing,663,3.548808939E7
218,Monitor,Electronics,753,3.715839076E7
3985,Programming Book,Books,688,3.379588147E7
4261,Refrigerator,Home Appliances,773,4.260189191E7
2689,Jeans,Clothing,697,3.701510561E7
1551,Office Desk,Furniture,617,3.158092846E7
2246,Sofa,Furniture,715,3.724538425E7
2485,Washing Machine,Home Appliances,654,3.334258614E7
1838,Office Desk,Furniture,745,3.582722768E7
2484,Data Science Book,Books,659,3.255807354E7
713,T-Shirt,Clothing,593,3.058870859E7
2827,T-Shirt,Clothing,736,3.419217346E7
3784,Gym Kit,Sports,804,4.144428697E7
450,Programming Book,Books,691,3.370018194E7
4029,Office Chair,Furniture,625,2.925893226E7
3879,T-Shirt,Clothing,621,2.928747473E7
2835,Programming Book,Books,603,3.058305966E7
460,Monitor,Electronics,647,3.287471961E7
3632,Speaker,Electronics,651,3.142949432E7
3746,Gym Kit,Sports,734,3.907077402E7
461,Refrigerator,Home Appliances,765,3.521794644E7
4809,Mixer,Home Appliances,571,2.930154249E7
3760,Gym Kit,Sports,555,2.458228721E7
136,Table,Furniture,702,3.083714232E7
2339,Jeans,Clothing,523,2.688669238E7
3303,Shirt,Clothing,624,3.416295234E7
4901,Football,Sports,584,3.071561508E7
4095,Sofa,Furniture,636,3.156686792E7
2888,Office Chair,Furniture,686,3.367461019E7
4958,Washing Machine,Home Appliances,662,3.685605932E7
1393,Washing Machine,Home Appliances,610,3.044463453E7
975,Dictionary,Books,546,2.824528778E7
3204,Novel,Books,641,2.802608568E7
2575,Microwave,Home Appliances,747,3.916910313E7
3053,Mobile Phone,Electronics,546,2.566633195E7
1554,Mixer,Home Appliances,674,3.475900535E7
1678,T-Shirt,Clothing,664,3.420650431E7
4534,Novel,Books,570,3.118881907E7
3626,Data Science Book,Books,687,3.816728382E7
2127,Dictionary,Books,658,3.160305415E7
1093,Novel,Books,648,3.023156165E7
4217,Football,Sports,703,3.504119778E7
1410,Football,Sports,495,2.31662161E7
2021,Cricket Bat,Sports,689,2.928122206E7
4208,Dictionary,Books,674,3.714644626E7
4757,Mobile Phone,Electronics,715,3.478111238E7
1851,Office Chair,Furniture,712,3.833858874E7
2610,Mixer,Home Appliances,503,2.6514445E7
1154,Keyboard,Electronics,604,2.914177424E7
4167,Sofa,Furniture,691,3.197881042E7
800,Mixer,Home Appliances,738,3.276632947E7
504,Tennis Racket,Sports,623,3.021274695E7
3608,Football,Sports,608,3.041402945E7
3858,Speaker,Electronics,712,3.554180627E7
2948,Gym Kit,Sports,731,3.533944595E7
3368,Jacket,Clothing,641,2.822984105E7
2433,Refrigerator,Home Appliances,760,3.97813252E7
3018,Microwave,Home Appliances,683,3.151407189E7
2258,Laptop,Electronics,636,3.352314216E7
25,Tennis Racket,Sports,689,3.132300123E7
4290,Novel,Books,756,3.681338071E7
1667,Tennis Racket,Sports,628,3.316787983E7
2306,Keyboard,Electronics,692,3.484635155E7
2425,Cricket Bat,Sports,699,3.548581137E7
4077,Monitor,Electronics,714,3.534845895E7
588,Speaker,Electronics,561,2.68518666E7
1503,Mobile Phone,Electronics,630,3.296242784E7
973,Mixer,Home Appliances,645,3.166359939E7
3654,T-Shirt,Clothing,707,3.547053381E7
242,Cupboard,Furniture,621,3.171451355E7
1860,Cricket Bat,Sports,693,3.303292535E7
3530,Sofa,Furniture,616,2.948583659E7
26,Cupboard,Furniture,759,4.365581515E7
4803,Office Desk,Furniture,653,3.33930676E7
4778,Monitor,Electronics,658,3.34773876E7
3042,Laptop,Electronics,641,3.263322162E7
1772,T-Shirt,Clothing,717,3.652358728E7
4690,Mixer,Home Appliances,580,2.968445492E7
2694,Mixer,Home Appliances,606,3.031925901E7
1870,Novel,Books,654,3.313954497E7
489,Novel,Books,744,3.623142453E7
2522,Cricket Bat,Sports,592,2.700345513E7
252,Gym Kit,Sports,604,2.861599692E7
4589,Washing Machine,Home Appliances,598,3.032717591E7
1155,Jacket,Clothing,660,3.281611951E7
4895,T-Shirt,Clothing,504,2.622587459E7
3080,Office Chair,Furniture,731,3.92079243E7
329,Monitor,Electronics,667,3.388167144E7
3070,Monitor,Electronics,571,2.835862924E7
245,Microwave,Home Appliances,576,3.032283241E7
4007,Tennis Racket,Sports,709,3.399061207E7
380,Office Chair,Furniture,711,3.478402024E7
3099,Microwave,Home Appliances,588,3.138780226E7
63,Table,Furniture,688,3.60038485E7
4340,Novel,Books,562,2.954307431E7
4787,Gym Kit,Sports,671,3.480064978E7
4413,Cupboard,Furniture,645,3.088556016E7
4666,Mobile Phone,Electronics,752,4.184577898E7
1098,Tennis Racket,Sports,673,3.40875573E7
1308,Dictionary,Books,627,3.030368294E7
3520,Monitor,Electronics,595,2.567505666E7
1989,Dictionary,Books,715,3.339368541E7
2145,Mobile Phone,Electronics,675,3.451323811E7
2720,Mixer,Home Appliances,587,2.87581909E7
1561,Microwave,Home Appliances,608,3.113931434E7
890,Dictionary,Books,690,3.437799502E7
1836,Cricket Bat,Sports,712,3.799608486E7
3351,Cricket Bat,Sports,730,3.527950165E7
1449,Cupboard,Furniture,611,3.173985847E7
716,Jeans,Clothing,609,2.643527736E7
3108,T-Shirt,Clothing,586,2.924865205E7
255,Novel,Books,597,3.234790017E7
2660,Novel,Books,615,2.808684511E7
3265,Refrigerator,Home Appliances,669,3.261180117E7
879,Sofa,Furniture,551,2.584483781E7
1733,T-Shirt,Clothing,651,3.048220793E7
3595,Data Science Book,Books,654,3.296236773E7
4387,Jeans,Clothing,742,3.471256886E7
4632,Tablet,Electronics,693,3.308364323E7
3509,Refrigerator,Home Appliances,606,3.194148533E7
1188,Microwave,Home Appliances,441,1.860806298E7
3767,Dictionary,Books,653,3.466511763E7
2486,Office Chair,Furniture,631,3.468917514E7
4502,Refrigerator,Home Appliances,611,3.027331411E7
1990,Dictionary,Books,758,3.838265396E7
2906,Cupboard,Furniture,720,3.796876494E7
2240,Sofa,Furniture,730,3.574644426E7
70,Refrigerator,Home Appliances,623,2.941854063E7
1372,Mixer,Home Appliances,574,2.79126449E7
2457,Microwave,Home Appliances,665,3.549024791E7
2235,Monitor,Electronics,493,2.586882134E7
4538,Cricket Bat,Sports,602,2.813687655E7
2670,Jacket,Clothing,629,3.311832076E7
4465,Office Chair,Furniture,670,3.622462602E7
3282,Washing Machine,Home Appliances,651,3.16334765E7
4982,T-Shirt,Clothing,760,3.771621391E7
3839,Microwave,Home Appliances,674,3.196113926E7
1796,Novel,Books,648,2.929254799E7
3772,Washing Machine,Home Appliances,501,2.417748689E7
3207,Mixer,Home Appliances,673,2.943167662E7
1655,Jeans,Clothing,607,2.932012069E7
